,0,1,2,3
223,Big Pharma,Yes*,Hip-Hop,"{'lyrics': ""Yo, Europa LP\nBig Pharma\nJak Big Pharma, Big Pharma, yo\nTrujesz jak Big Pharma\nBig Pharma, Big Pharma, yo\n\nStrzegę swoich jak doberman, bo na świecie jest dość ścierwa\nŁadne body ma, śniade biodra ma, gładka cera, bo bioderma\nZnów pamięci mam dziś zanik\nChcę jak żaba jeść dziś za nich\nW Katalonii niewyspani, w Katalonii nie w Espanii\nTorba suszu i torba Céline\nW wodzie Fiji, mam Solpadeine, dwie tabletki\nJak nie zadziała mam proszki w kielni\nSam już nie wiem, czemu łeb boli\nCzemu brak tchu, czemu pierś boli\nRobię, wdycham Ventolin, ona, ona jest all-in\nJak Big Pharma\n\nBig Pharma, myśl czarna\nProszę, daj mi pić barman\nZanim dogoni mnie karma\nZanim potoczy się piana\nZanim tu zrobi się drama\nZanim się włączy reklama, ej\n\nPołykam pięć pigułek, połykam dwie pigułki\nRzuciłbym, but it's too late - o tym jak żyć mi mówi, wróć\nPołykam sześć pigułek, połykam trzy pigułki\nRzuciłbym, but it's too late - o tym jak żyć mi mówi - Big Pharma!\n\nBig Pharma, myśl czarna\nProszę, daj mi pić barman\nZanim dogoni mnie karma\nZanim potoczy się piana\nZanim tu zrobi się drama\nZanim się włączy reklama, ej\n\nDamy ci leki na zgagę, damy ci leki na kaca\nSuplementy na nadwagę, damy ci leki na flaka\nTej twojej Wiolce biada, gdy się kończy we fiolce viagra\nA nie pomoże ci Dolce i Prada, jak ma tłustą wątrobę, jak Foie Gras\nTeraz nowa cię goni dekada, siwy włosek na skroni się skrada\nNieistotne, że robisz to cardio, bo mielony tu goni kebaba\nAle ona w tej formie jest nadal, nie zostawi cię, bo nie wypada\nAle wiedz, że snuje plany, tak jak kto?\nTak jak Big Pharma, Big Pharma!\n\nBig Pharma, myśl czarna\nProszę, daj mi pić barman\nZanim dogoni mnie karma\nZanim potoczy się piana\nZanim tu zrobi się drama\nZanim się włączy reklama, ej\n\nDziennik pokładowy Europa, zapis czwarty\nCiągła jazda wycieńcza, przesadzam z lekami\nZnowu miałem deliryczne sny, znowu śniłem o niej\nCo noc tak mam\nPotem budzę się sam zupełnie\nNotatka do samego siebie: paracetamol, kofeina i kodeina to diabelska mieszanka\nNotatka do samego siebie, część druga: hiszpańska hydroksyzyna smakuje dokładnie jak wasabi\nOna uwielbiała wasabi\nO drugiej w nocy moją drogą rozświetlił błysk fotoradaru\nMoją pierwszą myślą byli paparazzi\nNa środku czteropasmówki, o drugiej w nocy, paparazzi\nOdchodzę od zmysłów\nOdbiór!"", 'source': 'Source: Musixmatch'}"
224,NINTENDO 64,MikeZup,Hip-Hop,"{'lyrics': 'My dog just ran away, and I am feeling pretty bad\nI\'ve been sneaking out at night, and my parents are real mad\nI\'ve been taking lots of drugs \'cause they teach me not to care\nYeah, I guess that\'s how you cheat because life doesn\'t play\nFair\n\nMy brother told me that he\'s gonna kill himself tonight\nWith a whole bottle of Prozac or a shiny kitchen knife\nHe says when he\'s dead, I can have his Nintendo 64\nAnd I can stay up all night long, playing on the basement\nFloor\n\nMy girlfriend told me that she doesn\'t love me anymore\nAnd I wish I didn\'t care, but I thought she was pretty cool\nSo I drank a ton of liquor, then I threw up in her sink\nShe said, ""Next time use the toilet,"" then she offered me a-\nA drink', 'source': 'Source: Musixmatch'}"
225,Give It Up,20Some,Hip-Hop,"{'lyrics': ""Everybody wants you\r\nEverybody wants your love\r\nI'd just like to make you mine all night\r\n\r\nNa, na, na, na, na, na, na, na, na, na, now\r\nBaby give it up\r\nGive it up\r\nBaby give it up\r\nNa, na, na, na, na, na, na, na, na, na, now\r\nBaby give it up\r\nGive it up\r\nBaby give it up\r\n\r\nEverybody sees you\r\nEverybody looks and stares\r\nI'd just like to make you mine, all mine\r\n\r\nNa, na, na, na, na, na, na, na, na, na, now\r\nBaby give it up\r\nGive it up\r\nBaby give it up\r\nNa, na, na, na, na, na, na, na, na, na, now\r\nBaby give it up\r\nGive it up\r\nBaby give it up\r\nGive it up\r\n\r\nNa, na, na, na, na, na, na, na, na, na, now\r\nBaby give it up\r\nGive it up\r\nBaby give it up\r\nNa, na, na, na, na, na, na, na, na, na, now\r\nBaby give it up\r\nGive it up\r\nBaby give it up\r\n\r\nEverybody wants you\r\nEverybody wants your love\r\nI'd just like to make you mine all night\r\n\r\nNa, na, na, na, na, na, na, na, na, na, now\r\nBaby give it up\r\nGive it up\r\nBaby give it up\r\nNa, na, na, na, na, na, na, na, na, na, now\r\nBaby give it up\r\nGive it up\r\nBaby give it up\r\n\r\nCan you give it, can you give it, give it up?\r\nCome on baby I need your love\r\nGive it up, some of your love\r\nCome on and play the game of love\r\n\r\nEverybody is on me, give it up ??\r\nCome on baby, I need your love\r\nCan I touch you, can I love you\r\nCome on baby, baby, I love you\r\nCan you give it, give it up?\r\nCome on baby give me your love"", 'source': 'Source: LyricFind'}"
226,Qui d'Autre,Joe Rocca,Hip-Hop,"{'lyrics': ""Jésus toute langue confesse\nTon royaume et ta sainteté\nTa nation avec toi progresse\nVers les voies de la liberté\n\nJesus toute langue confesse\nTon royaume et ta saintete\nTa nation avec toi progresse\nVers les voies de la liberte\n\nSeigneur tu attires la vérité\nTu conduits vers des eaux paisibles\nTa sagesse et tes richesses sont très profondes\nTu accomplies ce que tu veux\n\nJésus qui d'autre est seigneur\nQui règne au ciel et sur la terre\nTon amour déversé dans nos cœurs\nNous donne la vie pour l'éternité\n\nJésus je viens là où je veux renaitre\nRevêtir toute ta sainteté\nDevant ton trône je me rabaisse\nConduit moi dans ta majesté\n\nJesus je viens la ou je veux renaitre\nRevetir toute ta saintete\nDevant ton trone je me rabaisse\nConduit moi dans ta majeste\n\nSeigneur reçoit moi dans tes parvis en Dieu\nInstalle moi dans ton sanctuaire\nComme une rivière verdoyante au rivage\nJe veux rester plus près de toi\n\nBien aimé nous célébrons celui qui était et qui vient\nOui c'est vrai des grands hommes ont parus dans ce monde\nEt sont vite tombé disparu\nLui seul ne passera jamais\nIl s'appelle Jésus\nHérode n'a pas pu le tué\nEt même le diable n'a pas pu s'opposer à son œuvre\nLa mort n'a eu aucun pouvoir sur lui\nIl est seigneur"", 'source': 'Source: Musixmatch'}"
227,Liens de sang,Cupidon,Hip-Hop,"{'lyrics': ""Appelle pas en masqué, on répond pas, si on voit pas c'est qui\nIls aiment ma musique, elle est sale et elle vient d'ici (uh-uh)\nEt on maîtrise, j'envoie du shit qui décolle en Belgique (eh-eh)\nOn va réussir même si j'ai pas les pieds à Paris\n\nOG t'es lourd, tu prends des balles sinon c'est des coups de cross\nJe me souviens quand j'avais faim, on traquait toutes les big boss\nSkinny boy depuis très jeune mais ils savaient, j'étais le big dawg\nJ'peux plus mettre de clip dans mon clip\nIls savent c'est pas des Air Soft, petite salope, faut qu'tu rapportes\nJ'ai vite compris, j'voulais pas devenir comme ces petits rappeurs\nÇa s'dit des G's mais quand ils nous croisent, ils sont comme des vibrateurs\nJ'ai mon outil pour ces pussy dans l'colimateur\n\nAppelle pas en masqué, on répond pas, si on voit pas c'est qui\nIls aiment ma musique, elle est sale et elle vient d'ici\nPasser lourd, le bras long donc je l'ai raccourci\nOn spin son block, strapped up, le diable de Tasmanie\n\nHaut les-, haut les-, haut les mains\nJ'prend tout, j'repars, t'as plus rien\nOk, ok, c'est pour les miens\nPas d'liens de sang, c'est mon frère\nHaut les-, haut les-, haut les mains\nJ'prends tout, j'repars t'as plus rien\nOk, ok c'est pour les miens\nPas d'liens de sang, c'est mon frère\n\nTu peux sentir mon état (tu peux sentir mon état)\nEt ouais, j'skipperai les étapes\nLa femme est en amour, elle veut, j'arrive et je l'écarte\nMais elle vient des États, j'ai pas le droit d'être à Miami\nDe passage, j'allume mon loud, je me sens comme monsieur Miyagi\nJ'les paye pour faire d'la magie, spin, spin, spin, spin (spin)\nJusqu'à temps qu'ils soient étourdis, tu t'es fait prendre, t'as tout dis\nSeule régle que j'peux suivre à la fin, c'est ceux qui ne sont pas écrits (eh-eh)\n\nAppelle pas en masqué, on répond pas, si on voit pas c'est qui\nIls aiment ma musique, elle est sale et elle vient d'ici\nPasser lourd, le bras long donc je l'ai raccourci\nOn spin son block, strapped up, le diable de Tasmanie\n\nHaut les-, haut les-, haut les mains\nJ'prend tout, j'repars, t'as plus rien\nOk, ok, c'est pour les miens\nPas d'liens de sang, c'est mon frère\nHaut les-, haut les-, haut les mains\nJ'prends tout, j'repars t'as plus rien\nOk, ok, c'est pour les miens\nPas d'liens de sang, c'est mon frère"", 'source': 'Source: Musixmatch'}"
228,La Vie Qu'on Mène,FouKi,Hip-Hop,"{'lyrics': 'Chady\nHey, hey\n\nBientôt, j\'irai au ciel rejoindre Rimkus, le petit Lamine\nRegarde la vie qu\'on mène, on fait ça que pour la famille\nOn a toujours fait que du sale et nos parents ne font que prier\nPardonne-moi si j\'suis pas là, c\'est qu\'je cours derrière les milliers\nJ\'suis avec Savastano dans un quatre étoiles en Crète\nPas très loin de Malia, elle est chargée sous le maillot\nLe nez dans mes affaires, bébé, m\'attends pas pour le dîner\nEt si c\'est trop bizarre, bah, j\'disparaîtrais comme Houdini\nVaillant comme Souleymane, vaillant comme Mekness et Dimeh\nÀ deux doigts de péter l\'million, mais ce pédé s\'fait désirer\nPour l\'instant, j\'suis dans le hall, sous doré, j\'réfléchis\nQui aura le sourire en coin de bouche si je flanche\nCeux qui parlent fort sont que des baltringues déguisées\nJ\'ai les chaussures qui piquent, j\'arrive vers les Champs Elysées\nOn peut t\'enlever la vie pour sauver nos réputations\nÉvitons toutes les tentations, à l\'heure qu\'il est, j\'suis dans l\'avion\nOn tire, laisse-les planter, j\'arrive en tête du peloton\nJ\'suis là que pour la plata (j\'suis là que pour la plata)\nLe lundi et le mardi, le gérant s\'lève à cinq heures par peur qu\'on vienne l\'éclater\n(Par peur qu\'on vienne l\'éclater)\n\nY\'a rien d\'facile dans l\'argent facile, Zé Pequeno me fascine\n357 Magnum, pas de grappling\nY a la volaille qui rapplique, on s\'échappe\nMinuit pété sous champ\', demain j\'serai aux Seychelles\nEt pour avoir cette vie-là, j\'ai remonté les bretelles\nQuand le rêve est trop long, le réveil est brutal\nBlack Panther, comme la daronne de Tupac\nLes barreaux ou les tropiques, on prendra l\'argent d\'tout-par\nEt de toute façon, c\'est nous les bests en vrai\nDis-leur qu\'ils restent tranquilles ou le machin va discuter\nTu veux donner des coups d\'mains, allez, baise ton père\nJ\'ai mon papier, j\'ai mon équipe, j\'suis pas dans la mendicité\n\nÉlève dissipé d\'après les dires du prof\'\nCinq ans plus tard, son fils me demandera une to-ph\'\n500 000 albums plus tard, ma tête a pas gonflé\nLe prochain s\'appellera ""Destin"", j\'vais tout vous raconter (et j\'dirai que la vérité)\n\nBientôt, j\'irai au ciel rejoindre Rimkus, le petit Lamine\nRegarde la vie qu\'on mène, on fait ça que pour la famille\nOn a toujours fait que du sale et nos parents ne font que prier\nPardonne-moi si j\'suis pas là, c\'est qu\'je cours derrière les milliers\nOhoh ohoh oh, ohoh ohoh\nPardonne-moi si j\'suis pas là, c\'est qu\'je cours derrière les milliers\nOhoh ohoh oh, ohoh ohoh\nPardonne-moi si j\'suis pas là, c\'est qu\'je cours derrière les milliers', 'source': 'Source: Musixmatch'}"
229,Turbulence,LeMind,Hip-Hop,"{'lyrics': '6th Degree - Six Degrees of Inner Turbulence\n\nI. OVERTURE\n\nII. ABOUT TO CRASH -\n\nShe can\'t stop pacing\nShe never felt so alive\nHer thoughts are racing\nSet on overdrive\n\nIt takes a village\nThis she knows is true\nThey\'re expecting her\nAnd she\'s got work to do\n\nHe helplessly stands by\nIt\'s meaningless to try\nAs he rubs his red-rimmed eyes\nHe says I\'ve never seen her get this bad\n\nEven though she seems so high\nHe knows that she can\'t fly\nAnd when she falls out of the sky\nHe\'ll be standing by\n\nShe was raised in a small midwestern town\nBy a charming and eccentric loving father\nShe was praised as the perfect teenage girl\nAnd everyone thought highly of her\n\nAnd she tried everyday\nWith endless drive\nTo make the grade\nThen one day\nShe woke up to find\nThe perfect girl\nHad lost her mind\n\nOnce barely taking a break\nNow she sleeps the days away\nShe helplessly stands by\nIt\'s meaningless to try\nAll she wants to do is cry\nNo one ever knew she was so sad\n\nCause even though she gets so high\nAnd thinks that she can fly\nShe will fall out of the sky\nBut in the face of misery\nShe found hopefulness\nFeeling better\nShe had weathered\nThis depression\n\nMuch to her advantage\nShe resumed her frantic pace\nBoundless power\nMidnight hour\nShe enjoyed the race\n\nIII. WAR INSIDE MY HEAD -\n\nNapalm showers\nShowed the cowards\nWe weren\'t there to mess around\n\nThrough heat exhaustion\nAnd mind distortion\nA military victory mounted on innocent ground\n\nHearing voices from miles away\nSaying things never said\nSeeing shadows in the light of the day\nWaging a war inside my head\n\nYears and years of\nBloodshed and warfare\nOur mission was only to get in and kill\n\nA free vacation\nOf palmtrees and shrapnel\nTrading innocence for permanent psychotic hell\n\nHearing voices from miles away\nSaying things never said\nSeeing shadows in the light of the day\nWaging a war inside my head\n\nFeeling strangers staring my way\nReading minds never read\nTasting danger with each word I say\nWaging a war inside my head\n\nIV. THE TEST THAT STUMPED THEM ALL -\n\nStanding in the darkness\nWaiting for the light\nThe smell of pure adrenaline\nBurning in the night\n\nRandom blinding flashes\nAiming at the stage\nTape begins to roll\nIgniting sonic rage\n\nStill they keep me between these hollow walls\nHoping to find in me\nThe answers to the test that stumped them all\n\n""The boy is simply crazy\nSuffering from delusions\nWe honestly think that maybe\nHe might need an institution\n\nHe lives in a world of fiction\nAnd really could use some help\nWe have just the place to fix him\nTo save him from himself""\n\nCurled up in the darkness\nSearching for the light\nThe smell of stale sweat and shit\nStreaming through the night\n\nRandom urine testing\nPills red, pink and blue\nCounseling and therapy\nProviding not a clue\n\nStill they keep me between these hollow walls\nHoping to find in me\nThe answers to the test that stumped them all\n\n""We can\'t seem to find the answers\nHe seemed such a clear cut case\nWe cannot just let him leave here\nAnd put all this work to waste\n\nWhy don\'t we try shock treatment\nIt really might do some help\nWe have just the tools to fix him\nTo save him from himself""\n\nV. GOODNIGHT KISS -\n\nGoodnight kiss in your nightgown\nLavender in your bed\nSo innocent as you lie down\nSweet dreams that run through your head\n\nAre you lonely without Mommy\'s love?\nI want you to know I\'d die for that moment\nYou\'re just a poor girl\nAfraid of this cruel world\nTaken away from it all\n\nIt\'s been 5 years to the day and\nMy tainted blood\'s still the same\nI can\'t help acting this way and\nThose bastard doctors are gonna pay\n\nI\'m so lonely without baby\'s love\nI want you to know I\'d die for one more moment\nI\'m just a poor girl\nAfraid of this cruel world\nTaken away from it all\n\nVI. SOLITARY SHELL -\n\nHe seemed no different from the rest\nJust a healthy normal boy\nHis mama always did her best\nAnd he was daddy\'s pride and joy\n\nHe learned to walk and talk on time\nBut never cared much to be held\nAnd steadily he would decline\nInto his solitary shell\n\nAs a boy he was considered somewhat odd\nKept to himself most of the time\nHe would daydream in and out of his own world\nBut in every other way he was fine\n\nHe\'s a Monday morning lunatic\nDisturbed from time to time\nLost within himself\nIn his solitary shell\n\nA temporary catatonic\nMadman on occasion\nWhen will he break out\nOf his solitary shell\n\nHe struggled to get through his day\nHe was helplessly behind\nHe poured himself onto the page\nWriting for hours at a time\n\nAs a man he was a danger to himself\nFearful and sad most of the time\nHe was drifting in and out of sanity\nBut in every other way he was fine\n\nHe\'s a Monday morning lunatic\nDisturbed from time to time\nLost within himself\nIn his solitary shell\n\nA momentary maniac\nWith casual delusions\nWhen will he be let out\nOf his solitary shell\n\nVII. ABOUT TO CRASH (REPRISE) -\n\nI\'m alive again\nThe darkness far behind me\nI\'m invincible\nDespair will never find me\n\nI feel strong\nI\'ve got a new sense of elation\nBoundless energy\nEuphoria fixation\n\nStill it\'s hard to just get by\nIt seems so meaningless to try\nWhen all I want to do is cry\nWho would ever know I felt so sad\n\nEven though I get so high\nI know that I will never fly\nAnd when I fall out of the sky\nWho\'ll be standing by\n\nWill you be standing by\n\nVIII. LOSING TIME/GRAND FINALE -\n\nShe dresses in black everyday\nShe keeps her hair simple and plain\nShe never wears makeup\nBut no one would care if she did anyway\n\nShe doesn\'t recall yesterday\nFaces seem twisted and strange\nBut she always wakes up\nOnly to find she\'d been miles away\n\nAbsence of awareness\nLosing time\nA lapse of perception\nLosing time\n\nWanting to escape\nShe had created a way to survive\nShe learned to detach from herself\nA behavior that kept her alive\n\nHope in the face of our human distress\nHelps us to understand the turbulence deep inside\nThat takes hold of our lives\nShame and disgrace over mental unrest\nKeeps us from saving those we love\nThe grace within our hearts\nAnd the sorrow in our souls\nDeception of fame\nVengeance of war\nLives torn apart\nLosing oneself\nSpiraling down\nFeeling the walls closing in\nA journey to find\nThe answers inside\nOur illusive mind', 'source': 'Source: Musixmatch'}"
230,Liaison toxique,DawaMafia,Hip-Hop,"{'lyrics': '(Mixii on the track, Mixii on the track)\n\nPas besoin d\'ton love ni de ton support\nT\'inquiète, je m\'en sors (t\'inquiète, je m\'en sors)\nAvec ou sans toi, moi, j\'ai monté le score (monté le score)\nEt même sans toi, la vie est belle, j\'ai pas de remords (j\'ai pas de remords)\nJ\'t\'ai pas dit ""au revoir"" car j\'voulais jamais t\'revoir (je voulais jamais te revoir)\n\nBah ouais, c\'est mort, et faire le deuil, j\'ai pas eu le choix (choix, choix)\nBah ouais, c\'est mort, et quand j\'ferme l\'œil, c\'est pas toi que j\'vois (c\'est pas toi que j\'vois)\nNotre histoire se résume à, ""il était une fois"" (fois)\nEt si on se recroise, je ferai comme si je te voyais pas (je te voyais pas)\n\nEt c\'est comme ça (c\'est comme ça)\nC\'est pas ma faute, j\'ai pas de bons souvenirs de toi (souvenirs de toi)\nT\'es comme les autres, j\'sais même pas c\'que j\'ai vu en toi\nC\'est pas ma faute, j\'ai pas des bons souvenirs de toi (oh non, non, non)\n\n(Une liaison toxique) ce genre de chose ça rend malade (toxique)\nOn s\'est vendu toutes nos salades (toxique)\nOn s\'est trop menés en balade (balade)\nMaintenant sans toi, j\'peux me balader (toxique)\nOn s\'est causé trop de dommages (toxique)\nLigne de notre histoire, c\'est dommage (toxique)\nOn s\'est trop menés en balade (balade)\nMaintenant j\'sens que j\'peux me balader\n\nJe suis parti sans même dire un mot\nJe t\'ai simplement tourné le dos\nPourtant, tu m\'avais dans la peau\nMais toi, tu me voulais dans ta peau\n\nMaintenant, tu me vois que sur les photos\nJ\'t\'ai quitté car c\'est toi qui as fauté\nT\'as pas le choix de porter le chapeau (chapeau)\nIl t\'va trop bien, tu ne peux pas l\'ôter\n\nMaintenant, c\'est die, die, die, die, die\nPour toi, j\'ai plus l\'time, bah ouais (bah ouais)\nFaut que je me taille, taille, taille, taille, taille\nJe veux plus te revoir jamais (jamais)\n\nChérie bye, bye, bye, bye, bye, bye\nMon time, je n\'peux plus te donner\nMaintenant, c\'est die, j\'me taille bye, bye\nSi tu me revois, c\'est que tu rêvais\n\nJe préfère être solo\nQuelque part où personne ne peut me follow\nMon cerveau fait des tonneaux\nMon cœur compte plus les bobos\nJ\'reviens jamais dans l\'passé\nJ\'regarde jamais dans le rétro (oh non, non, non)\n\nUne liaison toxique, ce genre de chose ça rend malade (toxique)\nOn s\'est vendu toutes nos salades (toxique)\nOn s\'est trop menés en balade (balade)\nMaintenant sans toi, j\'peux me balader (toxique)\nOn s\'est causé trop de dommages (toxique)\nLigne de notre histoire, c\'est dommage (toxique)\nOn s\'est trop menés en balade\nMaintenant j\'sens que j\'peux me balader\n\n(Une liaison, liaison, liaison toxique)\n(Liaison, liaison, liaison toxique)\n(Une liaison, liaison, liaison toxique)\n(Liaison, liaison, liaison toxique)', 'source': 'Source: Musixmatch'}"
231,Bando,Cupidon,Hip-Hop,"{'lyrics': ""I got Pi'erre in this beat, yeah\nI got these hoes in this bitch, yeah\nCarats, they all in my ear, yeah, uh, uh, yeah, uh\nI got Pi'erre in this beat, yeah\nI got these hoes in this bitch, yeah\nCarats, they all in my ear, yeah, uh, uh, yeah, uh\n\nFuckin' on all these hoes, yeah\nTakin' like all these hoes\nIn this bitch, 'bout to get choked (buh)\nI might just wipe that bitch nose (buh)\nBitch, I fuck with them folks (bow)\nI know some niggas in ClayCo\n\nWe trap in the muh'fuckin' B-roll, yeah\nI was just prayin' in the bando, yeah\nNiggas in love with my flow (bow)\nNiggas in love with my flow (bow)\nI move that shit on the low, yeah\nWhy you be talkin' like hoes? Yeah\nWhy you be doing the most? Yeah\n\nI fell in love with the Draco, uh\nI know some niggas in ClayCo, uh\nWe trap in the muh'fuckin' B-roll, yeah\nI was just prayin' in the bando, yeah\nI was just layin' in the bando, yeah\nBig-ass gun, that's a Draco, yeah\nBig-ass cup, that mango, yeah\nI fuck that bitch up, yeah\n\nHeard your boyfriend a lame, hold on\nHeard your boyfriend a square, hold on\nDiamonds all in my ear\nBoot this bitch, not a square, hold on\n\nMansion Elan on a Friday, fuck a bad bitch, yeah\nGot the cash on me, yeah, yeah, yeah, yeah, yeah, hold on\nHeard your boyfriend a lame, hold on\nHeard your boyfriend a square, hold on\nDiamonds all in my ear\nBoot this bitch, not a square, hold on"", 'source': 'Source: Musixmatch'}"
232,On va blow up,Lanuit,Hip-Hop,"{'lyrics': ""On va blow up\nMets tes hands up, mets tes, mets tes hands up\nOn va y aller, on va blow up\nOn va y aller, on va blow up\nMets tes hands up, mets tes, mets tes hands up\nYeah, on va blow up, j'te dis qu'c't'année\nOn est parti pour la gold cup\nLongue drive pour le green\nFaut le gros club\nOn bloque pas\nÇa va blow up sur le bloc-note\nPOP, on va unlock\nOn travaille pour notre propre luck\n... Beat drop, trois tonnes\nLa collab avait callé pour les big guns\nLa nuit détraque\nOn va spinner comme au dimsum\nGrosse track\nÇa va sonner quand le beat cogne\nWoop woop\nJ'te dis qu'un jour on va blow up\nWoop woop\nParce qu'on mise gros sur notre propre shot\nWoop woop\nAlliance, click, monte un top club\nWoop woop\nShoot (Swish) casse tout avant le big buzz\nOn va y aller, on va blow up\nOn va y aller, on va blow up\nMets tes hands up, mets tes, mets tes hands up\nOn va y aller, on va blow up\nOn va y aller, on va blow up\nMets tes hands up, mets tes\nMets tes hands up\nYa\nQuand j'suis sur le microphone\nJ'suis présent pour faire des ennuis\nJ'rêvais d'être celui-là\nI guess qu'aujourd'hui chu vraiment lui\nJ'ai toujours la rage d'un rookie\nToujours aussi pertinent au micro\nMalgré mes cheveux gris\nChu le berger ch'pas la brebis\nY'a qu'la personne devant l'miroir\nQui est mon pire ennemi\nChu la seule personne capable\nD'effacer tous mes idées grises\nBeaucoup a changé dans les années 2020\nLes rappeurs on les smoke pu, sorry\nLes rappeurs on les vapes\nTu sais que j'ai la rage de vaincre\nLe matin avec mes verres de Shake\nLe coco rasé\nParce que j'viens d'me faire le fade\nQuand D-TRACK a snap\nJ'te parle pas de la app\nJoue l'album dans ton appart\n\nLe son vient du fond d'la cave\nPour ce rap jeu chu un maniaque\nJ'ouvre mon coeur sur les tracks\nComme une opération cardiaque\nOpération coup d'poing\nComme si j'tais dans la brigade\nYo on va blow up\nComme une opération kamikaze\nOn va y aller, on va blow up\nOn va y aller, on va blow up\nMets tes hands up, mets tes, mets tes hands up\nOn va y aller, on va blow up\nOn va y aller, on va blow up\nMets tes hands up, mets tes, mets tes hands up"", 'source': 'Source: Musixmatch'}"
233,Gâchis,Soraï,Hip-Hop,"{'lyrics': ""Tu peux me cuisiner dans ton Crock-Pot baby\nLet me feel the heat j'suis un mess quand j'm'ennuie\nIt's way too heavy sorry my mama made me l'anxiété runs in the family\nJ'ai l'air zen comme Ghandi dans ma tête ça spin comme mes pants à la buanderie\nIncendie liste d'attente chez le psy en attendant j'get tipsy\n4h sur la montre j'fais des gâchis oopsie\n\nJ'fais des gâchis oopsie\nNo chill zone tu viens d'atterrir mon baby\nJ'fais des gâchis oopsie\nNo chill zone tu viens d'atterrir mon baby\n\nS'te plait fais-moi plus de bruit\nJ'm'ennuie après l'dernier cri\nS'te plait fais-moi plus de bruit\nJ'm'ennuie après l'dernier cri\n\nSoso on the beat cowbells everywhere\nI could give a fudge mais j'ai d'autres choses à faire\nPrends-le pas trop personnel\nFidèle au poste comme colonel\nSouvent là jamais ponctuelle\nMais toujours douce comme Cottonelle\n\nBla bla bla bla\nJ'me fous les pieds dans les plats\nYou can eat me up table d'hôte comme ton dernier repas\nChoque moi j'veux sentir que t'es là\nFais passer l'courant comme Tesla\n\nJ'fais des gâchis oopsie\nNo chill zone tu viens d'atterrir mon baby\nJ'fais des gâchis oopsie\nNo chill zone tu viens d'atterrir mon baby\n\nS'te plait fais-moi plus de bruit\nJ'm'ennuie après l'dernier cri\nS'te plait fais-moi plus de bruit\nJ'm'ennuie après l'dernier cri\n\nOh non non non je suis pas bien ici baby\nOh non non non je sais plus si j'fuis ou j'vis\nOh non non non je suis pas bien ici baby\nOh non non non oh non oh non\n\nS'te plait fais-moi plus de bruit\nJ'm'ennuie après l'dernier cri\nS'te plait fais-moi plus de bruit\nJ'm'ennuie après l'dernier cri"", 'source': 'Source: Musixmatch'}"
234,Rancer,St-Prince,Hip-Hop,"{'lyrics': ""Sur Snapchat, un coup et on est devenu fou\nQuelques changements de texto en sexto\nEt j'me foutais du monde alentour en public tout ce que j'voulais c'est savoir tes dispos\nOn savait jamais vu mais j'savais déjà tout sur elle\nJ'avais pas besoin de bio\nJ't'ai rejoint dans les heures du matin j'ai pas dormi, demandez à mon ami Pierrot\nMais ce n'est plus comme avant, le\nTemps est insuffisant, y'a\nRien qui est permanent, dans\nCette vie d'adolescent, j'ai\nGarder la tête en avant, j'ai\nTout recommencer les plans, mais\nY'a ton odeur dans mes vêtements\nY'a ton odeur dans mes vêtements\nOuhh\nBébé Appelle moi ont va se canter\nDans la GT tous les bancs sont penchés\nIl y'a de la musique collée sur le plancher\nY'a que nous deux y'a pu rien à penser\nC'est quand la dernière fois qu'il est venu te texter ?\nLe boy y'a fuck up y fallait pas rancer\nLe boy y'a fuck up y fallait pas rancer\nLe boy y'a fuck up y fallait pas rancer\nBébé Appelle moi ont va se canter\nDans la GT tous les bancs sont penchés\nIl y'a de la musique collée sur le plancher\nY'a que nous deux y'a pu rien à penser\nC'est quand la dernière fois qu'il est venu te texter ?\nLe boy y'a fuck up y fallait pas rancer\nLe boy y'a fuck up y fallait pas rancer\nLe boy y'a fuck up y fallait pas rancer\nYeah, yea\nEst en position doggy, elle veut que j'la mange\nJuste parce que j'ai un p'tit côté asiatique\nMais tu sais que le prince pourra pas eat some ass,\nMy guy j'fais que enchaîner des fucking hits\nMes beats font que des bruits de pistol silencieux comme des *Piou Piou*\nYeah i did that shit\nJ't'aller chercher tout ce que j'pouvais pogner\nMaintenant j'suis bieng y'a rien qui a changé\nJ'me rappelle de mon temps quand j'étais toute seul\nTout le monde est rendu pareil ils ont la même gueule\nVien on s'en va loin de ces conneries\nPu besoin de faire des bhays louche now baby\nSi tu veux on peut y'aller vite ou en ralenti\nVeuve Cliquot dans le glass with the ice only\nJ'te l'ai déjà dit t'es pas comme tout c'est même go\nT'as jamais été comme eux, t'es dans l'autre catégo.\nBébé Appelle moi ont va se canter\nDans la GT tous les bancs sont penchés\nIl y'a de la musique collée sur le plancher\nY'a que nous deux y'a pu rien à penser\nC'est quand la dernière fois qu'il est venu te texter ?\nLe boy y'a fuck up y fallait pas rancer\nLe boy y'a fuck up y fallait pas rancer\nLe boy y'a fuck up y fallait pas rancer\nBébé Appelle moi ont va se canter\nDans la GT tous les bancs sont penchés\nIl y'a de la musique collée sur le plancher\nY'a que nous deux y'a pu rien à penser\nC'est quand la dernière fois qu'il est venu te texter ?\nLe boy y'a fuck up y fallait pas rancer\nLe boy y'a fuck up y fallait pas rancer\nYeah, yea"", 'source': 'Source: LyricFind'}"
